item,Group,condition,head_number,attractor_number,grammaticality,sentence
10,F,g,plural,singular,ungrammatical,The advertisements on the skyscraper typically was hard to read up close.
10,G,h,plural,plural,ungrammatical,The advertisements on the skyscrapers typically was hard to read up close.
11,G,a,singular,singular,grammatical,The traitor in the camp regrettably was passing information to the enemy.
11,H,b,singular,plural,grammatical,The traitor in the camps regrettably was passing information to the enemy.
11,A,c,singular,singular,ungrammatical,The traitor in the camp regrettably were passing information to the enemy.
11,B,d,singular,plural,ungrammatical,The traitor in the camps regrettably were passing information to the enemy.
11,C,e,plural,singular,grammatical,The traitors in the camp regrettably were passing information to the enemy.
11,D,f,plural,plural,grammatical,The traitors in the camps regrettably were passing information to the enemy.
11,E,g,plural,singular,ungrammatical,The traitors in the camp regrettably was passing information to the enemy.
11,F,h,plural,plural,ungrammatical,The traitors in the camps regrettably was passing information to the enemy.
12,F,a,singular,singular,grammatical,The flaw in the argument usually was clear to everyone in the lecture.
12,G,b,singular,plural,grammatical,The flaw in the arguments usually was clear to everyone in the lecture.
12,H,c,singular,singular,ungrammatical,The flaw in the argument usually were clear to everyone in the lecture.
12,A,d,singular,plural,ungrammatical,The flaw in the arguments usually were clear to everyone in the lecture.
12,B,e,plural,singular,grammatical,The flaws in the argument usually were clear to everyone in the lecture.
12,C,f,plural,plural,grammatical,The flaws in the arguments usually were clear to everyone in the lecture.
12,D,g,plural,singular,ungrammatical,The flaws in the argument usually was clear to everyone in the lecture.
12,E,h,plural,plural,ungrammatical,The flaws in the arguments usually was clear to everyone in the lecture.
13,E,a,singular,singular,grammatical,The door to the laboratory accidentally was left unlocked by the cleaning service.
13,F,b,singular,plural,grammatical,The door to the laboratories accidentally was left unlocked by the cleaning service.
13,G,c,singular,singular,ungrammatical,The door to the laboratory accidentally were left unlocked by the cleaning service.
13,H,d,singular,plural,ungrammatical,The door to the laboratories accidentally were left unlocked by the cleaning service.
13,A,e,plural,singular,grammatical,The doors to the laboratory accidentally were left unlocked by the cleaning service.
13,B,f,plural,plural,grammatical,The doors to the laboratories accidentally were left unlocked by the cleaning service.
13,C,g,plural,singular,ungrammatical,The doors to the laboratory accidentally was left unlocked by the cleaning service.
13,D,h,plural,plural,ungrammatical,The doors to the laboratories accidentally was left unlocked by the cleaning service.
14,D,a,singular,singular,grammatical,The memo from the supervisor unfortunately was about the delinquent tax return.
14,E,b,singular,plural,grammatical,The memo from the supervisors unfortunately was about the delinquent tax return.
14,F,c,singular,singular,ungrammatical,The memo from the supervisor unfortunately were about the delinquent tax return.
14,G,d,singular,plural,ungrammatical,The memo from the supervisors unfortunately were about the delinquent tax return.
14,H,e,plural,singular,grammatical,The memos from the supervisor unfortunately were about the delinquent tax return.
14,A,f,plural,plural,grammatical,The memos from the supervisors unfortunately were about the delinquent tax return.
14,B,g,plural,singular,ungrammatical,The memos from the supervisor unfortunately was about the delinquent tax return.
14,C,h,plural,plural,ungrammatical,The memos from the supervisors unfortunately was about the delinquent tax return.
15,C,a,singular,singular,grammatical,The check from the stockbroker happily was a dividend on a long-term bond.
15,D,b,singular,plural,grammatical,The check from the stockbrokers happily was a dividend on a long-term bond.
15,E,c,singular,singular,ungrammatical,The check from the stockbroker happily were a dividend on a long-term bond.
15,F,d,singular,plural,ungrammatical,The check from the stockbrokers happily were a dividend on a long-term bond.
15,G,e,plural,singular,grammatical,The checks from the stockbroker happily were a dividend on a long-term bond.
15,H,f,plural,plural,grammatical,The checks from the stockbrokers happily were a dividend on a long-term bond.
15,A,g,plural,singular,ungrammatical,The checks from the stockbroker happily was a dividend on a long-term bond.
15,B,h,plural,plural,ungrammatical,The checks from the stockbrokers happily was a dividend on a long-term bond.
16,B,a,singular,singular,grammatical,The key to the cell unsurprisingly was rusty from many years of disuse.
16,C,b,singular,plural,grammatical,The key to the cells unsurprisingly was rusty from many years of disuse.
16,D,c,singular,singular,ungrammatical,The key to the cell unsurprisingly were rusty from many years of disuse.
16,E,d,singular,plural,ungrammatical,The key to the cells unsurprisingly were rusty from many years of disuse.
16,F,e,plural,singular,grammatical,The keys to the cell unsurprisingly were rusty from many years of disuse.
16,G,f,plural,plural,grammatical,The keys to the cells unsurprisingly were rusty from many years of disuse.
16,H,g,plural,singular,ungrammatical,The keys to the cell unsurprisingly was rusty from many years of disuse.
16,A,h,plural,plural,ungrammatical,The keys to the cells unsurprisingly was rusty from many years of disuse.
17,A,a,singular,singular,grammatical,The letter from the investigator allegedly was received in San Francisco in March.
17,B,b,singular,plural,grammatical,The letter from the investigators allegedly was received in San Francisco in March.
17,C,c,singular,singular,ungrammatical,The letter from the investigator allegedly were received in San Francisco in March.
17,D,d,singular,plural,ungrammatical,The letter from the investigators allegedly were received in San Francisco in March.
17,E,e,plural,singular,grammatical,The letters from the investigator allegedly were received in San Francisco in March.
17,F,f,plural,plural,grammatical,The letters from the investigators allegedly were received in San Francisco in March.
17,G,g,plural,singular,ungrammatical,The letters from the investigator allegedly was received in San Francisco in March.
17,H,h,plural,plural,ungrammatical,The letters from the investigators allegedly was received in San Francisco in March.
18,H,a,singular,singular,grammatical,The entrance to the exhibit evidently was hard to locate on the diagram.
18,A,b,singular,plural,grammatical,The entrance to the exhibits evidently was hard to locate on the diagram.
18,B,c,singular,singular,ungrammatical,The entrance to the exhibit evidently were hard to locate on the diagram.
18,C,d,singular,plural,ungrammatical,The entrance to the exhibits evidently were hard to locate on the diagram.
18,D,e,plural,singular,grammatical,The entrances to the exhibit evidently were hard to locate on the diagram.
18,E,f,plural,plural,grammatical,The entrances to the exhibits evidently were hard to locate on the diagram.
18,F,g,plural,singular,ungrammatical,The entrances to the exhibit evidently was hard to locate on the diagram.
18,G,h,plural,plural,ungrammatical,The entrances to the exhibits evidently was hard to locate on the diagram.
19,G,a,singular,singular,grammatical,The warning from the expert unsurprisingly was a shock to the residents.
19,H,b,singular,plural,grammatical,The warning from the experts unsurprisingly was a shock to the residents.
19,A,c,singular,singular,ungrammatical,The warning from the expert unsurprisingly were a shock to the residents.
19,B,d,singular,plural,ungrammatical,The warning from the experts unsurprisingly were a shock to the residents.
19,C,e,plural,singular,grammatical,The warnings from the expert unsurprisingly were a shock to the residents.
19,D,f,plural,plural,grammatical,The warnings from the experts unsurprisingly were a shock to the residents.
19,E,g,plural,singular,ungrammatical,The warnings from the expert unsurprisingly was a shock to the residents.
19,F,h,plural,plural,ungrammatical,The warnings from the experts unsurprisingly was a shock to the residents.
20,F,a,singular,singular,grammatical,The bridge to the island apparently was about ten miles off the highway.
20,G,b,singular,plural,grammatical,The bridge to the islands apparently was about ten miles off the highway.
20,H,c,singular,singular,ungrammatical,The bridge to the island apparently were about ten miles off the highway.
20,A,d,singular,plural,ungrammatical,The bridge to the islands apparently were about ten miles off the highway.
20,B,e,plural,singular,grammatical,The bridges to the island apparently were about ten miles off the highway.
20,C,f,plural,plural,grammatical,The bridges to the islands apparently were about ten miles off the highway.
20,D,g,plural,singular,ungrammatical,The bridges to the island apparently was about ten miles off the highway.
20,E,h,plural,plural,ungrammatical,The bridges to the islands apparently was about ten miles off the highway.
21,E,a,singular,singular,grammatical,The gift from the visitor apparently was a beautiful clock from Germany.
21,F,b,singular,plural,grammatical,The gift from the visitors apparently was a beautiful clock from Germany.
21,G,c,singular,singular,ungrammatical,The gift from the visitor apparently were a beautiful clock from Germany.
21,H,d,singular,plural,ungrammatical,The gift from the visitors apparently were a beautiful clock from Germany.
21,A,e,plural,singular,grammatical,The gifts from the visitor apparently were a beautiful clock from Germany.
21,B,f,plural,plural,grammatical,The gifts from the visitors apparently were a beautiful clock from Germany.
21,C,g,plural,singular,ungrammatical,The gifts from the visitor apparently was a beautiful clock from Germany.
21,D,h,plural,plural,ungrammatical,The gifts from the visitors apparently was a beautiful clock from Germany.
22,D,a,singular,singular,grammatical,The path to the monument happily was lined with lovely trees and flowers.
22,E,b,singular,plural,grammatical,The path to the monuments happily was lined with lovely trees and flowers.
22,F,c,singular,singular,ungrammatical,The path to the monument happily were lined with lovely trees and flowers.
22,G,d,singular,plural,ungrammatical,The path to the monuments happily were lined with lovely trees and flowers.
22,H,e,plural,singular,grammatical,The paths to the monument happily were lined with lovely trees and flowers.
22,A,f,plural,plural,grammatical,The paths to the monuments happily were lined with lovely trees and flowers.
22,B,g,plural,singular,ungrammatical,The paths to the monument happily was lined with lovely trees and flowers.
22,C,h,plural,plural,ungrammatical,The paths to the monuments happily was lined with lovely trees and flowers.
23,C,a,singular,singular,grammatical,The message from the engineer regrettably was about the weakening to the structure.
23,D,b,singular,plural,grammatical,The message from the engineers regrettably was about the weakening to the structure.
23,E,c,singular,singular,ungrammatical,The message from the engineer regrettably were about the weakening to the structure.
23,F,d,singular,plural,ungrammatical,The message from the engineers regrettably were about the weakening to the structure.
23,G,e,plural,singular,grammatical,The messages from the engineer regrettably were about the weakening to the structure.
23,H,f,plural,plural,grammatical,The messages from the engineers regrettably were about the weakening to the structure.
23,A,g,plural,singular,ungrammatical,The messages from the engineer regrettably was about the weakening to the structure.
23,B,h,plural,plural,ungrammatical,The messages from the engineers regrettably was about the weakening to the structure.
24,B,a,singular,singular,grammatical,The gate to the pasture evidently was falling down due to disrepair.
24,C,b,singular,plural,grammatical,The gate to the pastures evidently was falling down due to disrepair.
24,D,c,singular,singular,ungrammatical,The gate to the pasture evidently were falling down due to disrepair.
24,E,d,singular,plural,ungrammatical,The gate to the pastures evidently were falling down due to disrepair.
24,F,e,plural,singular,grammatical,The gates to the pasture evidently were falling down due to disrepair.
24,G,f,plural,plural,grammatical,The gates to the pastures evidently were falling down due to disrepair.
24,H,g,plural,singular,ungrammatical,The gates to the pasture evidently was falling down due to disrepair.
24,A,h,plural,plural,ungrammatical,The gates to the pastures evidently was falling down due to disrepair.
